CONCURRENT VIEWERS
Month	Average	Gain	% Gain	Peak
06/2018	37.4M	-6.70M	-15.2%
05/2018	44.1M	-5.44M	-11%
04/2018	49.6M	+2.49M	+5.3%
03/2018	47.1M	+3.74M	+8.6%
02/2018	43.3M	-10.4M	-19.4%
01/2018	53.7M	-2.26M	-4%
12/2017	56.0M	+6.46M	+13%
11/2017	49.5M	-11.4M	-18.7%
10/2017	60.9M	-12.1M	-16.6%
09/2017	73.0M	-589K	-0.8%
08/2017	73.6M	+12.8M	+20.9%
07/2017	60.9M	+15.2M	+33.3%
06/2017	45.7M	-808K	-1.7%
05/2017	46.5M	+471K	+1%
04/2017	46.0M	+21.1M	+84.9%
03/2017	24.9M	+22.8M	+1.1K%
02/2017	2.06M	+1.43M	+223%
12/2016	638K	-	-
